x,variable,value,p,d,ynorm
5.5,zg,10414.010289224092,cq,quannianri,0.021708713307836813
6.5,zg,10812.11294522154,cq,quannianri,0.02253858539228055
7.5,zg,10650.700254383853,cq,quannianri,0.022202109651204355
8.5,zg,10711.49010066421,cq,quannianri,0.022328830223613743
9.5,zg,10299.553710956996,cq,quannianri,0.021470120779618608
10.5,zg,11470.602519563383,cq,quannianri,0.023911251732007362
11.5,zg,13514.237611451354,cq,quannianri,0.028171348187024034
12.5,zg,15726.099717034007,cq,quannianri,0.03278212530294905
13.5,zg,18911.666502467204,cq,quannianri,0.03942265610206823
14.5,zg,15674.107458631444,cq,quannianri,0.032673743901304377
15.5,zg,15557.839428871663,cq,quannianri,0.032431375279147946
16.5,zg,11347.722180653322,cq,quannianri,0.02365509930134109
17.5,zg,9982.604604958226,cq,quannianri,0.02080941879409991
18.5,zg,11027.780398634843,cq,quannianri,0.0229881588789541
19.5,zg,10937.221453329534,cq,quannianri,0.022799382593306747
20.5,zg,11246.224293495456,cq,quannianri,0.023443520046811137
21.5,zg,11854.483773192014,cq,quannianri,0.024711478335192126
22.5,zg,13557.654466314989,cq,quannianri,0.028261853576281994
23.5,zg,13781.904660874354,cq,quannianri,0.028729318371083785
0.5,zd,7698.997593677408,cq,quannianri,0.016049084538721052
1.5,zd,7724.533871399361,cq,quannianri,0.0161023166478336
2.5,zd,7710.3951924763405,cq,quannianri,0.016072843609228196
3.5,zd,5664.914351161028,cq,quannianri,0.011808899563893917
4.5,zd,6448.242630272087,cq,quannianri,0.013441800681222287
5.5,zd,6479.667654330447,cq,quannianri,0.01350730828290775
6.5,zd,6571.773916137492,cq,quannianri,0.013699310055125577
7.5,zd,6693.623720587863,cq,quannianri,0.013953314266564296
8.5,zd,6591.7460478501935,cq,quannianri,0.013740943323142032
9.5,zd,6565.086438902601,cq,quannianri,0.013685369553626826
10.5,zd,7223.03063999133,cq,quannianri,0.015056899025685098
11.5,zd,7627.992464970581,cq,quannianri,0.01590106951476073
12.5,zd,8646.46902107763,cq,quannianri,0.018024153221539763
13.5,zd,12392.376056559062,cq,quannianri,0.02583275141307603
14.5,zd,9027.797688590548,cq,quannianri,0.018819058785217113
15.5,zd,9560.662056390014,cq,quannianri,0.019929850830860674
16.5,zd,7381.820442945039,cq,quannianri,0.015387907178432641
17.5,zd,6634.001670583597,cq,quannianri,0.013829028044981874
18.5,zd,6864.394737710535,cq,quannianri,0.01430929807578329
19.5,zd,6534.02047076158,cq,quannianri,0.013620610428441243
20.5,zd,6785.131892741661,cq,quannianri,0.014144069280189216
21.5,zd,7209.139066682458,cq,quannianri,0.015027941095552349
22.5,zd,7546.018590083335,cq,quannianri,0.015730189392767657
23.5,zd,7760.790714513329,cq,quannianri,0.01617789650523232
0.5,zg,28540.408422018932,fj,quannianri,0.023780418124840406
1.5,zg,28879.688283281615,fj,quannianri,0.02406311264143113
2.5,zg,26504.752613282457,fj,quannianri,0.022084270488331247
3.5,zg,22135.197993321937,fj,quannianri,0.01844347340002389
4.5,zg,28273.35364313771,fj,quannianri,0.023557902938297643
5.5,zg,27946.956857496905,fj,quannianri,0.023285942848506005
6.5,zg,28479.043251176066,fj,quannianri,0.023729287482301326
7.5,zg,28737.34364991881,fj,quannianri,0.023944508350660608
8.5,zg,28885.76008311504,fj,quannianri,0.02406817178202485
9.5,zg,32105.669983024756,fj,quannianri,0.02675106274181545
10.5,zg,29637.404511179895,fj,quannianri,0.02469445639983006
11.5,zg,31178.093637612048,fj,quannianri,0.025978188261168295
12.5,zg,31453.66614277567,fj,quannianri,0.02620780058134255
13.5,zg,35349.400117017554,fj,quannianri,0.02945380117953808
14.5,zg,35718.22159109324,fj,quannianri,0.029761110337040302
15.5,zg,33700.96207374773,fj,quannianri,0.02808029084492048
16.5,zg,29814.733656238335,fj,quannianri,0.024842210459717896
17.5,zg,28195.761163266146,fj,quannianri,0.02349325138925865
18.5,zg,29249.48474223969,fj,quannianri,0.02437123417512032
19.5,zg,29044.317834033034,fj,quannianri,0.02420028515468616
20.5,zg,29425.18443987617,fj,quannianri,0.024517630548025065
21.5,zg,28761.107761165767,fj,quannianri,0.023964309065964383
22.5,zg,28171.52120084484,fj,quannianri,0.023473054185589187
23.5,zg,29283.739817751495,fj,quannianri,0.024399776163956763
0.5,zd,17887.72169792848,fj,quannianri,0.014904394323570385
1.5,zd,18583.229837907755,fj,quannianri,0.0154839051046837
2.5,zd,16881.78862537918,fj,quannianri,0.014066231508339883
3.5,zd,13108.089744215798,fj,quannianri,0.010921912900689086
4.5,zd,18630.417620838023,fj,quannianri,0.015523222874488292
5.5,zd,19397.24418982658,fj,quannianri,0.016162157544593294
6.5,zd,19319.508104862663,fj,quannianri,0.016097386341024818
7.5,zd,19656.026852333245,fj,quannianri,0.01637778024441143
8.5,zd,20323.93195411258,fj,quannianri,0.016934291642327265
9.5,zd,22930.675693274086,fj,quannianri,0.019106280744408427
10.5,zd,21249.186006797026,fj,quannianri,0.017705231143934536
11.5,zd,21663.682893574336,fj,quannianri,0.018050597935231203
12.5,zd,23297.086809374905,fj,quannianri,0.01941158154521072
13.5,zd,25362.315170062055,fj,quannianri,0.02113236960171692
14.5,zd,25923.653054602477,fj,quannianri,0.02160008714122438
15.5,zd,24246.527783774927,fj,quannianri,0.020202674055949617
16.5,zd,21949.403516595066,fj,quannianri,0.0182886658627063
17.5,zd,21506.14991227064,fj,quannianri,0.017919338420354595
18.5,zd,20630.442887129153,fj,quannianri,0.01718968245661378
19.5,zd,20226.197433120135,fj,quannianri,0.0168528573565923
20.5,zd,20454.97855980738,fj,quannianri,0.01704348219878963
21.5,zd,19451.042676805293,fj,quannianri,0.016206983480365488
22.5,zd,18939.305504724365,fj,quannianri,0.015780594210031175
23.5,zd,19073.901058436877,fj,quannianri,0.015892741818351964
0.5,zg,78870.10208094044,gd,quannianri,0.023640457733512893
1.5,zg,76773.66271461618,gd,quannianri,0.023012072769846945
2.5,zg,58085.76780898682,gd,quannianri,0.017410578946604846
3.5,zg,45443.641605922334,gd,quannianri,0.013621238724139164
4.5,zg,68473.77100678493,gd,quannianri,0.02052427024474871
5.5,zg,73137.04979620509,gd,quannianri,0.021922037487496018
6.5,zg,79322.50281589017,gd,quannianri,0.023776059947419163
7.5,zg,84176.54727647916,gd,quannianri,0.025231007131199683
8.5,zg,84861.99311894523,gd,quannianri,0.02543646208865367
9.5,zg,103050.1148812924,gd,quannianri,0.030888154332357014
10.5,zg,86915.27979288694,gd,quannianri,0.026051912500779286
11.5,zg,91475.40578000365,gd,quannianri,0.027418760809753112
12.5,zg,102158.42079270216,gd,quannianri,0.030620878699939204
13.5,zg,103141.70364525552,gd,quannianri,0.030915607071052762
14.5,zg,104834.95729650503,gd,quannianri,0.03142314148927122
15.5,zg,97658.06502263868,gd,quannianri,0.02927194586530469
16.5,zg,87589.42644315126,gd,quannianri,0.02625398064791326
17.5,zg,83704.81810791527,gd,quannianri,0.025089611428939083
18.5,zg,90176.82914078898,gd,quannianri,0.027029526545524863
19.5,zg,86278.47128074177,gd,quannianri,0.02586103605560543
20.5,zg,83896.03897294901,gd,quannianri,0.02514692780939662
21.5,zg,76966.36381947578,gd,quannianri,0.023069832836138726
22.5,zg,78847.64185557078,gd,quannianri,0.023633725524544888
23.5,zg,80363.29523989618,gd,quannianri,0.024088026188870505
0.5,zd,47618.32951770267,gd,quannianri,0.01427307784068125
1.5,zd,47236.480803339546,gd,quannianri,0.014158622829792161
2.5,zd,36865.34593152119,gd,quannianri,0.011049987629419665
3.5,zd,25801.678046894354,gd,quannianri,0.007733773169145114
4.5,zd,45117.64838988777,gd,quannianri,0.01352352579310773
5.5,zd,47615.246586526024,gd,quannianri,0.014272153765496183
