province,prefecture,2022-12,2022-11,2022-10,2022-9,2022-8,2022-7,2022-6,2022-5,2022-4,2022-3,2022-2,2022-1
吉林省,延边朝鲜族自治州,6.81,5.75,5.22,4.46,4.7,4.83,4.21,5.99,6.78,7.24,7.018,8.171
吉林省,梅河口市,0.96,0.82,0.76,0.67,0.71,1.12,0.68,0.62,0.68,0.78,0.873,1.016
黑龙江省,全省,112.0,101.0,96.0,84.0,89.0,93.0,87.0,88.0,88.0,98.0,93.0,111.0
黑龙江省,哈尔滨市,53.6,3.2,19.4,20.8,22.2,24.0,23.3,17.3,20.1,24.1,24.38,27.01
黑龙江省,齐齐哈尔市,7.275375131,12.18376178,9.542700942,7.873351169,8.321833198,8.595905548,7.93564034,8.807688729,8.458869373,9.206339421,8.548565779,10.46333488
黑龙江省,鸡西市,3.98793184,6.678420102,5.230746215,4.31570706,4.561538475,4.711768784,4.349850312,4.827855841,4.636653629,5.046372654,4.685819912,5.73538348
黑龙江省,鹤岗市,3.938853219,6.596230219,5.166372544,4.262594579,4.5054006,4.653782057,4.296317638,4.768440455,4.579591328,4.984268029,4.628152532,5.664799347
黑龙江省,双鸭山市,3.195841057,5.351939304,4.191805222,3.458512925,3.655516826,3.775908098,3.485874578,3.868937718,3.715712462,4.044052297,3.755113242,4.596210452
黑龙江省,大庆市,16.06752572,26.90760301,21.07487107,17.38814428,18.37860819,18.98389169,17.52570871,19.45161076,18.68124994,20.33202313,18.87934272,23.10807338
黑龙江省,伊春市,2.956905641,4.951804309,3.878407056,3.199938981,3.382213986,3.493604267,3.225254954,3.579678575,3.437909127,3.741700802,3.474364128,4.252577136
黑龙江省,佳木斯市,3.906973374,6.542842397,5.124557542,4.228094473,4.468935298,4.616115801,4.261544588,4.729846191,4.542525549,4.943926924,4.590693714,5.618950234
黑龙江省,七台河市,2.080701774,3.484462903,2.729139656,2.251718359,2.379980797,2.458363398,2.269532586,2.518931771,2.419172097,2.632942827,2.444824585,2.992433939
黑龙江省,牡丹江市,4.376359072,7.328902693,5.7402244,4.736059818,5.005835377,5.170698219,4.773528646,5.298092233,5.088266798,5.53789273,5.14222191,6.294013673
黑龙江省,黑河市,3.37655826,5.654578729,4.428841827,3.654083596,3.862227598,3.989426711,3.682992485,4.087716934,3.925827155,4.272733825,3.967455955,4.856115209
黑龙江省,绥化市,5.086569321,8.518261637,6.671767295,5.504643512,5.818199155,6.009816493,5.548192907,6.157884435,5.914007824,6.436600562,5.976718953,7.315427351
黑龙江省,大兴安岭地区,2.15,3.6,2.82,2.33,2.46,2.54,2.35,2.6,2.5,2.72,2.53,3.09
江苏省,全省,661.5,573.43,578.1,598.45,800.46,769.83,651.44,547.04,487.79,584.6,554.27,602.59
江苏省,南京市,66.04,51.97,53.24,56.2,81.7,79.52,65.16,51.04,46.31,53.0,58.16,62.12
江苏省,无锡市,72.29,64.2,64.65,67.46,91.23,87.46,75.44,58.96,58.43,68.08,58.02,67.08
江苏省,徐州市,41.37,33.74,32.67,33.5,45.97,40.88,38.41,31.15,25.74,34.12,35.45,37.86
江苏省,常州市,53.5,47.1,47.7,49.8,65.8,64.0,53.0,46.5,44.5,46.6,42.49,45.38
江苏省,苏州市,141.16,126.75,128.89,136.71,180.14,176.91,145.97,126.79,105.89,137.88,119.73,127.9
江苏省,南通市,52.3,46.8,47.2,48.2,62.7,61.5,50.2,44.1,39.0,47.16,39.97,46.27
